                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.5104,                 2.4569,                 1.6121,                 0.8864,                 0.8858,                0.87912,                0.66474,                0.98419,                0.64963,                 1.0317,             0.00025573,             0.00025573,             0.00025573
                     72,                  1.519,                 2.4587,                 1.6166,                0.88592,                0.88414,                 0.8752,                 0.6634,                0.97968,                0.65801,                 1.0371,             0.00024748,             0.00024748,             0.00024748
                     73,                 1.5023,                 2.4416,                 1.6009,                0.89061,                0.89638,                0.87961,                0.66461,                 0.9798,                0.65923,                 1.0324,             0.00023924,             0.00023924,             0.00023924
                     74,                 1.5088,                 2.4407,                 1.6092,                0.88877,                0.88076,                0.87876,                 0.6728,                0.96673,                0.64222,                 1.0276,             0.00023099,             0.00023099,             0.00023099
                     75,                 1.4864,                 2.4149,                 1.5924,                0.89694,                0.88291,                0.87937,                0.66733,                0.99386,                0.65176,                  1.037,             0.00022274,             0.00022274,             0.00022274
                     76,                 1.4845,                 2.4186,                 1.5899,                 0.8905,                0.88687,                0.87946,                0.66453,                0.99528,                0.64032,                 1.0371,              0.0002145,              0.0002145,              0.0002145
                     77,                 1.4907,                 2.4116,                 1.5934,                0.89884,                0.88964,                0.88567,                 0.6744,                0.98954,                0.63081,                 1.0362,             0.00020625,             0.00020625,             0.00020625
                     78,                  1.516,                 2.4365,                 1.6017,                0.90588,                0.89085,                0.88668,                0.66899,                0.98584,                 0.6413,                 1.0358,               0.000198,               0.000198,               0.000198
                     79,                 1.4892,                 2.4107,                 1.5934,                 0.8962,                0.90037,                 0.8851,                0.66757,                0.97445,                0.63558,                 1.0283,             0.00018976,             0.00018976,             0.00018976
                     80,                 1.4859,                  2.395,                 1.5903,                0.89192,                0.89236,                0.87968,                 0.6661,                0.98318,                0.62918,                 1.0321,             0.00018151,             0.00018151,             0.00018151
                     81,                 1.4697,                 2.3737,                 1.5757,                 0.9005,                0.89752,                0.88589,                0.67264,                0.97788,                0.62954,                 1.0297,             0.00017326,             0.00017326,             0.00017326
                     82,                  1.488,                 2.3979,                 1.5868,                0.89969,                0.89217,                0.88647,                0.67004,                0.99292,                0.63982,                 1.0356,             0.00016502,             0.00016502,             0.00016502
                     83,                 1.4727,                 2.3842,                 1.5874,                0.87608,                0.89092,                0.87963,                0.66807,                0.98539,                0.63249,                 1.0303,             0.00015677,             0.00015677,             0.00015677
                     84,                 1.4765,                 2.3542,                 1.5744,                0.87747,                0.89249,                0.87844,                0.66946,                0.98309,                0.63126,                 1.0293,             0.00014852,             0.00014852,             0.00014852
                     85,                 1.4718,                 2.3747,                 1.5773,                0.89037,                0.89353,                0.87736,                0.67003,                0.97848,                0.63437,                  1.031,             0.00014028,             0.00014028,             0.00014028
                     86,                 1.4707,                 2.3515,                 1.5725,                0.88009,                0.89626,                0.88014,                0.66901,                0.97525,                0.61377,                 1.0319,             0.00013203,             0.00013203,             0.00013203
                     87,                 1.4543,                 2.3396,                 1.5649,                0.88752,                 0.8973,                0.88143,                0.67076,                0.97197,                0.62134,                 1.0266,             0.00012378,             0.00012378,             0.00012378
                     88,                 1.4613,                 2.3539,                 1.5678,                0.89523,                0.88762,                0.88225,                0.67264,                0.97091,                0.62541,                   1.02,             0.00011554,             0.00011554,             0.00011554
                     89,                 1.4578,                 2.3453,                 1.5667,                0.89298,                0.89192,                0.88183,                0.67706,                0.96976,                0.62477,                 1.0219,             0.00010729,             0.00010729,             0.00010729
                     90,                 1.4987,                 2.3381,                 1.6264,                 0.8949,                0.89647,                0.88904,                0.66603,                0.98688,                0.65153,                 1.0307,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                 1.4815,                 2.3014,                 1.6148,                0.89949,                0.89217,                 0.8891,                0.67001,                0.98582,                0.62987,                 1.0295,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                 1.4793,                 2.2859,                 1.6123,                0.89338,                0.89327,                0.88555,                 0.6703,                0.98315,                0.63038,                 1.0315,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                 1.4695,                 2.2757,                 1.6089,                0.89254,                0.89845,                0.88869,                0.66929,                0.98072,                0.63331,                  1.029,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                 1.4659,                 2.2597,                 1.6031,                0.90197,                0.89819,                0.89035,                0.67221,                0.97168,                0.63073,                  1.024,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                 1.4673,                 2.2578,                 1.6011,                0.91017,                0.89637,                0.89303,                0.67215,                0.97778,                0.63061,                 1.0277,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                 1.4691,                 2.2546,                 1.6044,                0.90517,                0.89469,                0.88854,                0.67399,                0.97678,                 0.6301,                  1.027,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                 1.4663,                 2.2495,                 1.5978,                0.90792,                0.89812,                0.89149,                0.67255,                0.97551,                0.62577,                 1.0229,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                 1.4507,                  2.237,                 1.5982,                0.90815,                0.89718,                0.88929,                0.67538,                0.97401,                0.62763,                 1.0229,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                 1.4487,                 2.2276,                 1.5919,                0.90844,                 0.8949,                0.89049,                0.67465,                0.98218,                0.62792,                 1.0246,             2.4823e-05,             2.4823e-05,             2.4823e-05
